mean,mean,mean
9.214,292.9,495.83
8.774,294.5,768.53
8.738,293.4,612.39
8.625,293.7,540.97
8.547,267,1091.9
9.068,271.8,1589
9.208,271.8,1592.9
9.16,272.2,1470.6
8.908,270.8,1264.4
8.752,273,1209.6
8.897,275,1317
8.911,275.2,1459.2
8.861,275.5,1292.7
8.516,260.8,1111
8.659,253.2,1128.2
8.975,252.4,1329.4
9.228,264.6,1433.1
9.248,266.4,1442.4
8.514,264.7,1046.4
8.706,261.1,1152.3
8.786,259.1,1202
9.387,256.6,1561.5
8.502,223.3,1097
9.332,225.8,1516.2
9.166,222.1,1463
9.461,252.2,1551.9
9.434,256.1,1544.4
8.944,252.6,1277
9.154,255.9,1391.2
9.434,256.1,1553.5
9.229,256.1,1419.5
9.279,258.4,1448.4
9.216,275.1,1633
9.361,290.6,1299.3
8.509,289.6,825.64
8.72,276.9,1313.9
9.456,275,1635.1
9.101,271,1422.7
9.457,265.8,1552.4
9.435,259.6,1534.5
8.985,244.8,1311.6
8.88,237.5,1236.4
8.653,235.2,1146.2
9.41,235.1,1552
9.154,232.1,1366.5
9.049,228.1,1339.7
9.125,228.9,1375.7
8.873,227.1,1250.3
8.897,225.3,1276.8
8.801,225.7,1227.3
8.961,225.6,1291.3
9.126,222.6,1355.4
9.118,213.3,1380.1
9.065,208.9,1365.7
8.991,208.8,1310.9
8.964,208,1304.8
9.198,205.3,1424.8
9.046,205.4,1345.7
9.418,205,1529
9.463,204.1,1561
9.119,201.3,1381.6
9.435,199.1,1550.4
9.466,284.6,1879.2
9.221,276.2,1868.6
8.782,278.7,1481.5
8.847,276.3,1150.1
9.4,276.4,1462.2
8.995,289.9,607.32
8.936,242,1289.4
9.181,239.6,1421.3
9.243,245.5,834.47
9.474,277.3,1793.7
9.27,277.8,1455.8
9.164,273.7,1700.3
9.373,272.3,2063.9
9.413,269.2,1590.5
9.31,269.2,1454
8.822,271.8,1112.6
8.605,237.6,1138.5
9.218,209.1,1430.2
9.115,209.6,1342.8
8.68,303.7,1198.8
8.959,290.4,1210.3
9.114,290.4,1033.8
9.399,300.8,495.26
8.873,299.5,483.14
8.851,15.58,867.34
8.734,339.5,712.35
9.153,354.9,752.53
8.558,354.8,537.3
9.193,274,1385.9
9.273,270.9,1415.8
9.283,272.1,1615.1
9.04,271.5,1640.7
9.441,276.8,1862.3
9.462,277.3,1976.1
9.318,276.3,1623.9
9.115,273.9,2026.3
9.075,289,1585.1
8.88,287.6,1547.5
9.146,279.2,1262.5
9.124,277.8,1167.2
8.539,275.2,935.71
8.763,267.8,1195.3
9.056,267.3,1342.4
8.619,268.4,1140.5
9.359,263.3,1506.6
8.644,275.6,1031.6
8.829,219.9,1237.8
9.493,222.2,1573.5
8.928,221.2,1294.5
8.576,218,1127.4
8.768,217.1,1216.5
8.615,222.8,1144
9.025,203.8,1337.9
9.317,205.3,1485.4
9.255,248.3,1449
9.174,250.7,1407.8
9.053,253.3,1363.3
9.186,260.6,1464
9.046,263.5,1324
8.643,259.9,1165.6
8.712,259.4,1194.8
8.695,205.4,1173.2
8.614,205.4,1114.1
8.688,204.2,1146.3
8.971,205.5,1320.8
9.342,206.8,1412
9.05,204.4,1359.6
9.211,204.2,1431.8
9.374,204.4,1505.9
9.151,189.8,1375.9
9.254,190.6,1459.3
9.352,191.9,1521.2
9.037,192.3,1325.1
9.153,193.3,1411
9.126,190,1390.2
9.035,190.7,1332.9
8.685,190.3,1136.9
9.117,191.4,1371.5
9.45,195.4,1576.3
9.431,191.1,1536.1
8.658,185.8,1155.7
9.037,185.4,1349.1
8.933,186.9,1266.7
9.223,204.4,1454.1
8.602,201.8,1116.1
8.99,199.3,1383.6
9.018,204.5,1350.9
8.704,208.9,1205
8.651,191.8,1153.2
9.343,192.3,1490
9.032,194.1,1357.2
8.796,194.3,1242.4
8.98,181.3,1314.6
9.011,174.7,1329.9
8.515,166.9,1440.3
8.709,159.6,1502.2
9.47,188.8,1556.5
9.426,175.5,1331.8
9.057,173.2,1573.2
9.282,198.2,1434.6
8.588,177.7,1159.5
8.878,176.8,1340.4
9.271,176.7,1269.8
9.408,233,1523.9
9.156,235.2,1404.1
9.487,235.1,1549.6
9.179,250.6,1445.9
9.444,244.8,1555.4
9.187,233.5,1420.7
9.398,228.5,1546.9
9.22,227.6,1476.3
9.427,239.8,1494.8
9.159,251.8,1243.5
9.068,247.4,1321
9.481,250.4,1562
9.01,250.1,1322.7
9.176,249.9,1407.8
9.123,270.5,1556.2
9.185,272.1,1678.9
9.413,273.7,1820.3
8.81,266,1212.2
